0,1,0,0
1,1,1,3
2,0,1,3
3,0,0,2
4,0,1,3
5,1,0,2
6,0,1,2
7,0,0,1
8,0,0,2
9,1,0,2
10,0,1,1
11,0,0,2
12,0,0,2
13,1,0,1
14,1,0,2
15,1,1,2
16,1,0,1
17,1,0,1
18,1,1,2
19,1,0,1
20,0,0,1
21,1,0,2
22,1,0,1
23,1,0,2
24,0,1,0
25,1,0,3
26,0,0,0
27,0,1,1
28,0,1,1
29,1,0,4
30,0,1,4
31,0,1,0
32,0,1,3
33,0,0,3
34,1,1,1
35,0,0,2
36,1,0,5
37,0,1,2
38,1,0,3
39,1,0,1
40,0,1,2
41,1,1,1
42,1,1,2
43,0,1,3
44,0,0,1
45,0,1,0
46,1,0,1
47,0,1,3
48,0,1,0
49,1,0,0
50,1,1,1
51,1,1,2
52,0,0,2
53,1,0,3
54,1,0,0
55,0,0,2
56,0,0,0
57,0,1,0
58,0,0,2
59,0,0,2
60,0,1,0
61,0,0,1
62,0,0,0
63,0,1,2
64,0,0,3
65,0,1,3
66,0,1,3
67,1,0,2
68,1,0,1
69,1,1,3
70,1,1,2
71,0,0,0
72,1,0,5
73,1,0,4
74,0,1,1
75,0,0,0
76,0,0,2
77,0,1,0
78,0,0,1
79,0,1,2
80,0,1,0
81,0,1,3
82,1,0,1
83,1,0,0
84,1,0,1
85,0,1,2
86,0,0,1
87,1,0,0
88,1,0,2
89,1,0,2
90,1,1,2
91,1,1,2
92,1,0,0
93,1,1,2
94,1,1,1
95,1,0,2
96,1,0,2
97,1,1,3
98,0,1,2
99,1,0,2
